ID,Date,Location,Latitude,Longtitude,Magnitude,Depth,Record date
314,11/25/2013 16:13,CAMLI-MARMARIS (MUGLA)                            İlksel,36.9487,28.2543,2.4,5.6,02:03.9
315,11/27/2013 18:38,ARMUTALAN-MARMARIS (MUGLA)                        İlksel,36.8495,28.24,2.1,2.2,02:03.9
316,12/5/2013 13:21,YESILBELDE-MARMARIS (MUGLA)                       İlksel,36.9205,28.2607,1.9,24.3,02:04.1
317,12/14/2013 20:32,BELDIBI-MARMARIS (MUGLA)                          İlksel,36.9218,28.272,3,5.7,02:04.1
318,12/14/2013 20:35,KARACA-MARMARIS (MUGLA)                           İlksel,36.9368,28.2045,1.8,10.1,02:04.1
319,1/29/2014 23:01,HISARONU-MARMARIS (MUGLA) [North 3.9 km]          İlksel,36.8347,28.1408,1.9,11,02:04.3
320,2/4/2014 9:39,CAMLI-MARMARIS (MUGLA) [ 1.59 km]                 İlksel,36.9737,28.2457,2.1,10.8,02:04.5
321,2/8/2014 15:53,CAMLI-MARMARIS (MUGLA) [South 5.6 km]             İlksel,36.9288,28.2585,1.7,15.6,02:04.5
322,3/8/2014 9:19,CETIBELI-MARMARIS (MUGLA) [South East 6.6 km]     İlksel,36.9412,28.3295,1.5,17.5,02:04.7
323,3/12/2014 17:03,KARACA-MARMARIS (MUGLA) [South East 1.5 km]       İlksel,36.9245,28.21,1.6,22.3,02:04.7
324,3/13/2014 23:04,BELDIBI-MARMARIS (MUGLA) [North East 5.6 km]      İlksel,36.9183,28.2932,2.2,16.2,02:04.7
325,3/18/2014 21:09,CETIBELI-MARMARIS (MUGLA) [South East 1.8 km]     İlksel,36.987,28.3202,1.6,8.6,02:04.7
326,3/19/2014 2:11,CETIBELI-MARMARIS (MUGLA) [South East 4.0 km]     İlksel,36.9827,28.3455,1.6,15.1,02:04.7
327,3/19/2014 2:12,CETIBELI-MARMARIS (MUGLA) [South East 4.5 km]     İlksel,36.9785,28.3495,1.9,4.9,02:04.7
328,3/22/2014 16:34,BELDIBI-MARMARIS (MUGLA) [ 8.86 km]               İlksel,36.9053,28.357,1.6,17.5,02:04.7
329,3/23/2014 19:23,HISARONU-MARMARIS (MUGLA) [South East 4.1 km]     İlksel,36.7905,28.19,1.8,8,02:04.7
330,3/24/2014 22:03,CETIBELI-MARMARIS (MUGLA) [North West 1.3 km]     İlksel,37.0073,28.297,1.6,3.5,02:04.7
331,3/25/2014 3:07,CETIBELI-MARMARIS (MUGLA) [South East 2.8 km]     İlksel,36.9857,28.333,1.8,6.7,02:04.7
332,3/25/2014 7:52,CETIBELI-MARMARIS (MUGLA) [South East 4.1 km]     İlksel,36.9845,28.348,1.9,7.9,02:04.7
333,4/3/2014 13:47,HISARONU-MARMARIS (MUGLA) [North East 3.8 km]     İlksel,36.8328,28.1585,2.4,65.9,02:05.0
334,4/5/2014 5:02,CETIBELI-MARMARIS (MUGLA) [South East 2.9 km]     İlksel,36.9795,28.3287,2,7.6,02:05.0
335,4/5/2014 5:31,CETIBELI-MARMARIS (MUGLA) [South East 3.0 km]     İlksel,36.9842,28.3337,1,15.4,02:05.0
336,4/9/2014 17:46,BELDIBI-MARMARIS (MUGLA) [North East 4.4 km]      İlksel,36.9108,28.2792,1.5,13.3,02:05.0
337,4/21/2014 1:20,ORHANIYE-MARMARIS (MUGLA) [North East 1.0 km]     İlksel,36.7603,28.1618,1.9,13.6,02:05.0
338,4/22/2014 10:12,CETIBELI-MARMARIS (MUGLA) [South East 3.3 km]     İlksel,36.9885,28.34,1.9,16.2,02:05.0
339,5/7/2014 13:47,KARACA-MARMARIS (MUGLA) [South West 1.1 km]       İlksel,36.9225,28.1887,3,5,02:05.3
340,5/7/2014 18:47,KARACA-MARMARIS (MUGLA) [South West 2.2 km]       İlksel,36.9122,28.1877,2.6,7.3,02:05.3
341,6/2/2014 4:45,ICMELER-MARMARIS (MUGLA) [North West 3.2 km]      İlksel,36.8213,28.2002,2.5,56.4,02:05.5
342,6/3/2014 13:23,TURGUTKOY-MARMARIS (MUGLA) [ 2.38 km]             İlksel,36.7347,28.105,2,31.4,02:05.5
343,6/3/2014 19:04,CAMLI-MARMARIS (MUGLA) [North 2.4 km]             İlksel,37.0003,28.2652,1.9,3.1,02:05.5
344,6/14/2014 19:41,BELDIBI-MARMARIS (MUGLA) [North East 4.8 km]      İlksel,36.9133,28.2818,1.8,9.7,02:05.5
345,7/21/2014 22:10,CETIBELI-MARMARIS (MUGLA) [West 1.5 km]           İlksel,36.9955,28.2875,1.9,4.6,02:05.7
346,7/18/2014 4:21,YESILBELDE-MARMARIS (MUGLA) [West 7.9 km]         İlksel,36.8753,28.1332,1.8,11.6,02:05.7
347,7/9/2014 22:56,BAYIR-MARMARIS (MUGLA) [North 1.9 km]             İlksel,36.733,28.1657,2.4,68.6,02:05.7
